procedure_code,current_domain,current_subdomain,risk_type,why_flagged,suggested_fix
2.000547,co_con_nho,khai_sinh,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.000893,co_con_nho,khai_sinh,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.003583,co_con_nho,khai_sinh,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.004884,co_con_nho,khai_sinh,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
2.000528,co_con_nho,khai_sinh,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.000110,co_con_nho,khai_sinh,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.013313,cu_tru_giay_to,ho_khau,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.013314,cu_tru_giay_to,ho_khau,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
2.001159,cu_tru_giay_to,luu_tru,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.012783,dien_luc_nha_o_dat_dai,dang_ky_quyen_so_huu_quyen_su_dung,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.013529,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.013524,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.013532,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.013531,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.013527,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
2.000592,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
3.000599,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,Checklist không có giấy tờ chính và cũng không có form rõ ràng để người dùng bám theo.,Bổ sung primary checklist từ raw_data hoặc enrich lại documents.summary/normally_required.
1.013519,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.013547,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.013520,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.013553,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.013549,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.013551,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.013521,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.013554,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
3.000163,giai_quyet_khieu_kien,giai_quyet_khieu_kien,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
2.002857,hoc_tap,chuyen_truong,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
3.000182,hoc_tap,tuyen_sinh,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
3.000181,hoc_tap,tuyen_sinh,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.010779,hoc_tap,tuyen_sinh,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.005095,hoc_tap,tuyen_sinh,thin_checklist,Checklist không có giấy tờ chính và cũng không có form rõ ràng để người dùng bám theo.,Bổ sung primary checklist từ raw_data hoặc enrich lại documents.summary/normally_required.
1.005108,hoc_tap,chuyen_truong,shallow_user_steps,"Phần user_steps chỉ có 2 bước, có khả năng đang quá chung hoặc chưa bóc đủ luồng thủ tục.",Review lại steps/raw procedure flow để sinh lại user_steps.
2.001904,hoc_tap,chuyen_truong,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.001912,hoc_tap,van_bang_chung_chi,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.001912,hoc_tap,van_bang_chung_chi,shallow_user_steps,"Phần user_steps chỉ có 2 bước, có khả năng đang quá chung hoặc chưa bóc đủ luồng thủ tục.",Review lại steps/raw procedure flow để sinh lại user_steps.
1.001942,hoc_tap,tuyen_sinh,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.002982,hoc_tap,hoc_bong_va_ho_tro,thin_checklist,Checklist không có giấy tờ chính và cũng không có form rõ ràng để người dùng bám theo.,Bổ sung primary checklist từ raw_data hoặc enrich lại documents.summary/normally_required.
1.003702,hoc_tap,hoc_bong_va_ho_tro,thin_checklist,Checklist không có giấy tờ chính và cũng không có form rõ ràng để người dùng bám theo.,Bổ sung primary checklist từ raw_data hoặc enrich lại documents.summary/normally_required.
1.002499,hoc_tap,hoc_tap_o_nuoc_ngoai_bang_ngan_sach,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.005090,hoc_tap,tuyen_sinh,shallow_user_steps,"Phần user_steps chỉ có 2 bước, có khả năng đang quá chung hoặc chưa bóc đủ luồng thủ tục.",Review lại steps/raw procedure flow để sinh lại user_steps.
2.000547,hon_nhan_gia_dinh,cai_chinh_trich_luc_ho_tich,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
2.002189,hon_nhan_gia_dinh,ket_hon,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
2.000554,hon_nhan_gia_dinh,ket_hon,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
2.000702,hon_nhan_gia_dinh,cai_chinh_trich_luc_ho_tich,cross_group_overlap,"Mã này đang xuất hiện ở nhiều group Công dân: hon_nhan_gia_dinh, nguoi_than_qua_doi.",Xác nhận đây là overlap chủ ý hay đang kéo nhầm membership mở rộng.
1.000736,hon_nhan_gia_dinh,ket_hon,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
2.000584,hon_nhan_gia_dinh,giam_ho,domain_mismatch_candidate,Tín hiệu từ title/field/scope nghiêng mạnh sang domain `hoc_tap` (score 2) hơn domain hiện tại `hon_nhan_gia_dinh` (score 0).,Review lại mapping domain; ứng viên gần nhất là `hoc_tap`.
1.000593,hon_nhan_gia_dinh,ket_hon,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
2.000513,hon_nhan_gia_dinh,ket_hon,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
2.000540,hon_nhan_gia_dinh,nhan_con_nuoi,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
2.000560,hon_nhan_gia_dinh,giam_ho,domain_mismatch_candidate,Tín hiệu từ title/field/scope nghiêng mạnh sang domain `hoc_tap` (score 2) hơn domain hiện tại `hon_nhan_gia_dinh` (score 0).,Review lại mapping domain; ứng viên gần nhất là `hoc_tap`.
3.000322,hon_nhan_gia_dinh,giam_ho,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
3.000323,hon_nhan_gia_dinh,giam_ho,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
2.000748,hon_nhan_gia_dinh,cai_chinh_trich_luc_ho_tich,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.004845,hon_nhan_gia_dinh,giam_ho,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
2.000756,hon_nhan_gia_dinh,giam_ho,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.003179,hon_nhan_gia_dinh,nhan_con_nuoi,thin_checklist,Checklist không có giấy tờ chính và cũng không có form rõ ràng để người dùng bám theo.,Bổ sung primary checklist từ raw_data hoặc enrich lại documents.summary/normally_required.
2.001255,hon_nhan_gia_dinh,nhan_con_nuoi,thin_checklist,Checklist không có giấy tờ chính và cũng không có form rõ ràng để người dùng bám theo.,Bổ sung primary checklist từ raw_data hoặc enrich lại documents.summary/normally_required.
1.001742,huu_tri,che_do_huu_tri,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.014176,huu_tri,che_do_huu_tri,thin_checklist,"Checklist chỉ có 1 giấy tờ chính, dễ là chưa bóc đủ thành phần hồ sơ.",Đối chiếu lại raw_data để tách thêm giấy tờ chính hoặc biểu mẫu.
1.014176,huu_tri,che_do_huu_tri,shallow_user_steps,"Phần user_steps chỉ có 2 bước, có khả năng đang quá chung hoặc chưa bóc đủ luồng thủ tục.",Review lại steps/raw procedure flow để sinh lại user_steps.
